system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,CPA,0.7425,3.5637348545628638,3.563875111191464,3.563978285956129,0.09361367294738804,0.09361829493835545,0.09362039926005555
binary,CPA,0.745,3.563736349466553,3.563876313716137,3.563979307960342,0.09361371425693353,0.09361832662553779,0.09362042749689446
binary,CPA,0.7475,3.5637378397447628,3.563877513299723,3.5639803280377373,0.09361375543861498,0.09361835824126807,0.09362045568047747
binary,CPA,0.75,3.563739325430729,3.563878709959816,3.563981346196586,0.09361379649335065,0.09361838978593308,0.09362048381103197
binary,CPA,0.7525,3.563740806557152,3.563879903713821,3.563982362445321,0.09361383742205422,0.0936184212599153,0.09362051188879217
binary,CPA,0.755,3.563742283156605,3.563881094579062,3.5639833767922107,0.09361387822561613,0.09361845266359416,0.09362053991398882
binary,CPA,0.7575,3.563743755261167,3.563882282572596,3.563984389245547,0.09361391890492719,0.09361848399734703,0.09362056788684596
binary,CPA,0.76,3.563745222902595,3.563883467711445,3.5639853998135163,0.09361395946086379,0.0936185152615473,0.09362059580759627
binary,CPA,0.7625,3.563746686112373,3.563884650012343,3.56398640850425,0.09361399989429718,0.09361854645656506,0.09362062367645914
binary,CPA,0.765,3.563748144921513,3.5638858294919733,3.5639874153258857,0.0936140402060861,0.09361857758276922,0.09362065149366292
binary,CPA,0.7675,3.563749599360822,3.5638870061668193,3.563988420286523,0.093614080397081,0.09361860864052343,0.09362067925942633
binary,CPA,0.77,3.5637510494607634,3.563888180053234,3.563989423394106,0.09361412046812406,0.09361863963019043,0.09362070697397748
binary,CPA,0.7725,3.563752495251385,3.563889351167411,3.563990424656688,0.09361416042004655,0.09361867055212839,0.09362073463753029
binary,CPA,0.775,3.563753936762525,3.563890519525391,3.56399142408209,0.09361420025367306,0.09361870140669407,0.09362076225030624
binary,CPA,0.7775,3.5637553740236427,3.563891685143088,3.563992421678258,0.09361423996981429,0.09361873219424079,0.09362078981252789
binary,CPA,0.78,3.5637568070639323,3.563892848036277,3.5639934174530072,0.09361427956928334,0.09361876291511906,0.09362081732440045
binary,CPA,0.7825,3.5637582359122333,3.563894008220564,3.563994411414114,0.09361431905287544,0.09361879356967628,0.09362084478614974
binary,CPA,0.785,3.563759660597121,3.563895165711433,3.563995403569339,0.09361435842138059,0.09361882415825834,0.09362087219798544
binary,CPA,0.7875,3.563761081146889,3.563896320524245,3.563996393926364,0.0936143976755783,0.0936188546812068,0.09362089956012258
binary,CPA,0.79,3.563762497589486,3.563897472674214,3.5639973824928317,0.09361443681624358,0.0936188851388621,0.09362092687276563
binary,CPA,0.7925,3.56376390995263,3.563898622176386,3.563998369276376,0.09361447584414156,0.09361891553156106,0.09362095413613176
binary,CPA,0.795,3.563765318263681,3.563899769045721,3.563999354284496,0.09361451476003267,0.09361894585963758,0.0936209813504306
binary,CPA,0.7975,3.563766722549844,3.5639009132970423,3.56400033752478,0.09361455356466383,0.09361897612342386,0.09362100851586415
