system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
lmh,PR,27,0.0675,Light_nC4,7.479053335572948e-08,0.016656509591487654,0.019385409479809337,0.0004081822941568444
lmh,PR,27,0.0675,Middle_nC10,4.585352477480073e-07,0.10211983267752371,0.11885051676583602,0.0004081822941568444
lmh,PR,27,0.0675,Heavy_squalane,3.324757971711841e-06,0.7404528428991461,0.8617640737543547,0.0004081822941568444
lmh,PR,28,0.07,H2O,6.320647451230581e-07,0.14076337192104713,0.0,0.00040911659758099354
lmh,PR,28,0.07,Light_nC4,7.479264423381636e-08,0.01665662399062223,0.01938537469924024,0.00040911659758099354
lmh,PR,28,0.07,Middle_nC10,4.585490084852853e-07,0.1021207164669101,0.118850515829647,0.00040911659758099354
lmh,PR,28,0.07,Heavy_squalane,3.324857912376107e-06,0.7404592876214204,0.8617641094711127,0.00040911659758099354
lmh,PR,29,0.0725,H2O,6.320448076983734e-07,0.14075592279537794,0.0,0.00041005302424533226
lmh,PR,29,0.0725,Light_nC4,7.479475723558197e-08,0.01665673848866539,0.01938533989417156,0.00041005302424533226
lmh,PR,29,0.0725,Middle_nC10,4.58562782875894e-07,0.1021216009959148,0.11885051489461168,0.00041005302424533226
lmh,PR,29,0.0725,Heavy_squalane,3.324957952105915e-06,0.740465737720042,0.8617641452112168,0.00041005302424533226
lmh,PR,30,0.075,H2O,6.320248602967061e-07,0.14074846957672832,0.0,0.0004109913051790204
lmh,PR,30,0.075,Light_nC4,7.479687172066987e-08,0.0166568530530096,0.019385305074527303,0.0004109913051790204
lmh,PR,30,0.075,Middle_nC10,4.585765667602399e-07,0.1021224860125815,0.11885051396099981,0.0004109913051790204
lmh,PR,30,0.075,Heavy_squalane,3.325058060693923e-06,0.7404721913576805,0.8617641809644728,0.0004109913051790204
lmh,PR,31,0.0775,H2O,6.32004907860378e-07,0.140741014035615,0.0,0.0004119312148133545
lmh,PR,31,0.0775,Light_nC4,7.479898721122369e-08,0.016656967656444685,0.01938527024858497,0.0004119312148133545
lmh,PR,31,0.0775,Middle_nC10,4.585903570137281e-07,0.10212337130667579,0.11885051302903525,0.0004119312148133545
lmh,PR,31,0.0775,Heavy_squalane,3.325158215445187e-06,0.7404786470012646,0.8617642167223797,0.0004119312148133545
lmh,PR,32,0.08,H2O,6.319849540269197e-07,0.14073355763612883,0.0,0.0004128725655406491
lmh,PR,32,0.08,Light_nC4,7.480110325878394e-08,0.016657082276467755,0.01938523542318673,0.0004128725655406491
lmh,PR,32,0.08,Middle_nC10,4.586041507257529e-07,0.1021242567043479,0.11885051209890216,0.0004128725655406491
lmh,PR,32,0.08,Heavy_squalane,3.325258395223156e-06,0.7404851033830556,0.8617642524779111,0.0004128725655406491
lmh,PR,33,0.0825,H2O,6.319650017380533e-07,0.14072610157870075,0.0,0.0004138152025078065
lmh,PR,33,0.0825,Light_nC4,7.480321949071072e-08,0.016657196894626296,0.019385200603939823,0.0004138152025078065
lmh,PR,33,0.0825,Middle_nC10,4.586179454795996e-07,0.10212514206305448,0.11885051117074995,0.0004138152025078065
lmh,PR,33,0.0825,Heavy_squalane,3.325358582478257e-06,0.7404915594636186,0.8617642882253103,0.0004138152025078065
lmh,PR,34,0.085,H2O,6.319450542944211e-07,0.14071864683824664,0.0,0.0004147589989629107
lmh,PR,34,0.085,Light_nC4,7.480533571216201e-08,0.016657311495932588,0.019385165795395738,0.0004147589989629107
lmh,PR,34,0.085,Middle_nC10,4.586317399734643e-07,0.10212602726702949,0.11885051024469864,0.0004147589989629107
lmh,PR,34,0.085,Heavy_squalane,3.325458767749944e-06,0.7404980143987913,0.8617643239599057,0.0004147589989629107
lmh,PR,35,0.0875,H2O,6.319251138034221e-07,0.140711194198933,0.0,0.00041570385199615815
lmh,PR,35,0.0875,Light_nC4,7.480745170152963e-08,0.016657426068329543,0.019385131001212978,0.00041570385199615815
