system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,PR,0.54,0.9361212472290619,0.9361569790260181,0.9361853452892178,0.06617209427628809,0.06617279829443985,0.0661731094030322
binary,PR,0.5425,0.9361215527745703,0.9361571795700843,0.9361854773958576,0.06617209911541437,0.06617280094105119,0.06617311149514164
binary,PR,0.545,0.9361218565747631,0.9361573794774823,0.9361856094504987,0.06617210392689758,0.06617280358497153,0.06617311358642604
binary,PR,0.5475,0.9361221586660654,0.9361575787576867,0.936185741450012,0.06617210871131445,0.06617280622609392,0.06617311567683717
binary,PR,0.55,0.9361224590695271,0.9361577774193441,0.9361858733931794,0.06617211346899825,0.06617280886432443,0.06617311776635672
binary,PR,0.5525,0.9361227578179054,0.9361579754712362,0.9361860052777374,0.06617211820046819,0.06617281149956901,0.06617311985494671
binary,PR,0.555,0.9361230550495183,0.9361581730006009,0.9361861371139388,0.06617212290791338,0.06617281413271955,0.06617312194277092
binary,PR,0.5575,0.9361233505406763,0.9361583698485442,0.9361862689329085,0.06617212758779314,0.06617281676185885,0.0661731240303226
binary,PR,0.56,0.9361236445045441,0.9361585661214099,0.9361864006297314,0.06617213224348291,0.06617281938763338,0.06617312611593876
binary,PR,0.5625,0.9361239369276042,0.9361587618170626,0.9361865322606512,0.06617213687476801,0.06617282201009893,0.06617312820051083
binary,PR,0.565,0.9361242279306571,0.9361589570191055,0.93618666383545,0.0661721414835622,0.06617282463012755,0.0661731302841939
binary,PR,0.5675,0.9361245173119265,0.9361591515733099,0.9361867953861083,0.06617214606666925,0.06617282724589243,0.06617313236749514
binary,PR,0.57,0.9361248052563635,0.9361593455820977,0.93618692681038,0.06617215062701895,0.06617282985802828,0.06617313444879398
binary,PR,0.5725,0.9361250918465905,0.9361595391170465,0.9361870581735192,0.06617215516592012,0.0661728324675147,0.06617313652912402
binary,PR,0.575,0.9361253770023736,0.9361597321011997,0.9361871895174747,0.06617215968210124,0.06617283507348654,0.06617313860915003
binary,PR,0.5775,0.9361256606898537,0.9361599244778261,0.9361873207753286,0.06617216417502686,0.06617283767486888,0.06617314068781338
binary,PR,0.58,0.9361259431105298,0.9361601164085477,0.9361874519130444,0.06617216864788719,0.06617284027329583,0.06617314276457245
binary,PR,0.5825,0.9361262241082994,0.9361603077369911,0.9361875830159528,0.0661721730982126,0.06617284286716005,0.0661731448407806
binary,PR,0.585,0.9361265038141887,0.9361604985604208,0.9361877139857566,0.06617217752807494,0.06617284545707065,0.06617314691488023
binary,PR,0.5875,0.9361267823066528,0.9361606889467857,0.9361878448842256,0.06617218193871707,0.06617284804396266,0.06617314898785084
binary,PR,0.59,0.936127059537547,0.9361608788222379,0.9361879757524474,0.06617218632937914,0.06617285062701919,0.06617315106034101
binary,PR,0.5925,0.9361273355380624,0.9361610682023237,0.9361881065361347,0.06617219070055409,0.06617285320607263,0.06617315313149254
binary,PR,0.595,0.9361276103330797,0.9361612570934392,0.9361882372339819,0.06617219505263418,0.06617285578106823,0.0661731552012838
binary,PR,0.5975,0.9361278838862402,0.9361614454332496,0.9361883678358275,0.06617219938504634,0.0661728583511083,0.06617315726955489
binary,PR,0.6,0.9361281563316906,0.9361616333746747,0.9361884983071541,0.06617220369991228,0.06617286091770531,0.06617315933575962
binary,PR,0.6025,0.9361284276354869,0.9361618208373886,0.9361886287409549,0.06617220799669674,0.06617286348017963,0.06617316140136881
binary,PR,0.605,0.9361286978146757,0.9361620078370878,0.9361887590846333,0.06617221227566931,0.06617286603835303,0.06617316346555038
binary,PR,0.6075,0.9361289668878998,0.936162194380438,0.9361888893373707,0.06617221653712427,0.06617286859215633,0.06617316552829161
binary,PR,0.61,0.9361292348722784,0.9361623804742311,0.9361890194984711,0.06617222078133346,0.06617287114151596,0.06617316758958124
binary,PR,0.6125,0.9361295017859945,0.9361625661252817,0.9361891495672845,0.06617222500858365,0.0661728736863567,0.06617316964940885
binary,PR,0.615,0.9361297676468077,0.9361627513405268,0.9361892795432285,0.06617222921915844,0.0661728762265987,0.066173171707766
binary,PR,0.6175,0.9361300324728421,0.936162936126905,0.9361894094258324,0.06617223341334347,0.06617287876216091,0.06617317376464517
binary,PR,0.62,0.9361302962829428,0.9361631204913258,0.9361895392147348,0.06617223759143664,0.06617288129296074,0.06617317582003929
binary,PR,0.6225,0.9361305590969445,0.9361633044406343,0.9361896689096664,0.0661722417537541,0.0661728838189165,0.06617317787394493
binary,PR,0.625,0.9361308209359793,0.9361634879815064,0.9361897985104232,0.06617224590062794,0.06617288633994761,0.06617317992635881
binary,PR,0.6275,0.9361310818227092,0.9361636711204142,0.9361899280168273,0.06617225003241985,0.06617288885597747,0.06617318197727848
binary,PR,0.63,0.9361313417810613,0.9361638538635497,0.9361900574288174,0.06617225414950662,0.06617289136693377,0.06617318402670261
binary,PR,0.6325,0.9361316008368615,0.9361640362167237,0.9361901867462986,0.06617225825229801,0.06617289387275142,0.06617318607462984
