input_index,phase_presence_mask,K_gas_over_oil_0_H2O,K_gas_over_oil_1_Heavy_squalane,K_water_over_oil_0_H2O,K_water_over_oil_1_Heavy_squalane,z_0_H2O,z_1_Heavy_squalane,beta_oil,beta_gas,beta_water,Z_oil,Z_gas,Z_water,phase_hysteresis_suppression_mask
37,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24877626592674051e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
38,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24876195465641260e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
39,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24874784108151715e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
40,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24873392389578797e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
41,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24872020181113363e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
42,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,3.99999999999999939e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24870667355753717e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
43,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24869333788291925e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
44,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24868019355303783e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
45,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24866723935136292e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
46,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24865447407896824e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
47,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24864189655442015e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
48,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24862950561366581e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
49,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24861730010992655e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
50,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24860527891359219e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
51,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24859344091211355e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
52,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24858178500990569e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
53,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24857031012823594e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
