case,step,pvi,cell,x_m,water_saturation,oil_saturation,gas_saturation
binary,20,0.5,3,0.07,0.6628750507536374,0.3371249492463626,0.0
binary,20,0.5,4,0.09,0.6337376220107642,0.36626237798923583,0.0
binary,20,0.5,5,0.11,0.6092771800887421,0.390722819911258,0.0
binary,20,0.5,6,0.13,0.5882293815729261,0.41177061842707374,0.0
binary,20,0.5,7,0.15,0.5697789942836095,0.43022100571639055,0.0
binary,20,0.5,8,0.16999999999999998,0.5533691121508244,0.4466308878491756,0.0
binary,20,0.5,9,0.19,0.5386024123500227,0.4613975876499773,0.0
binary,20,0.5,10,0.21,0.5251856009052959,0.4748143990947042,0.0
binary,20,0.5,11,0.22999999999999998,0.5128961237746518,0.4871038762253481,0.0
binary,20,0.5,12,0.25,0.5015612049065533,0.49843879509344663,0.0
binary,20,0.5,13,0.26999999999999996,0.4910441039445958,0.5089558960554043,0.0
binary,20,0.5,14,0.29,0.48123480034616434,0.5187651996538356,0.0
binary,20,0.5,15,0.30999999999999994,0.4720434967367086,0.5279565032632916,0.0
binary,20,0.5,16,0.33,0.4633959767801071,0.5366040232198929,0.0
binary,20,0.5,17,0.35,0.45523021730323,0.54476978269677,0.0
binary,20,0.5,18,0.37,0.4474938694456782,0.5525061305543217,0.0
binary,20,0.5,19,0.38999999999999996,0.4401423548489016,0.5598576451510985,0.0
binary,20,0.5,20,0.41,0.43313740540448203,0.566862594595518,0.0
binary,20,0.5,21,0.43,0.42644592831927225,0.5735540716807277,0.0
binary,20,0.5,22,0.45,0.42003911341095446,0.5799608865890455,0.0
binary,20,0.5,23,0.47,0.4138917232512255,0.5861082767487745,0.0
binary,20,0.5,24,0.49,0.4079815230559465,0.5920184769440535,0.0
binary,20,0.5,25,0.51,0.4022888185984908,0.5977111814015093,0.0
binary,20,0.5,26,0.5299999999999999,0.3967960784938717,0.6032039215061283,0.0
binary,20,0.5,27,0.55,0.3914876230110597,0.6085123769889403,0.0
binary,20,0.5,28,0.57,0.3863493658049333,0.6136506341950666,0.0
binary,20,0.5,29,0.59,0.38136859808447293,0.6186314019155271,0.0
binary,20,0.5,30,0.61,0.37653380706393136,0.6234661929360686,0.0
binary,20,0.5,31,0.63,0.37183452230064273,0.6281654776993572,0.0
binary,20,0.5,32,0.65,0.3672611848593489,0.6327388151406512,0.0
binary,20,0.5,33,0.6699999999999999,0.36280503526864694,0.6371949647313531,0.0
binary,20,0.5,34,0.69,0.35845801702869656,0.6415419829713034,0.0
binary,20,0.5,35,0.7100000000000001,0.3542126930483279,0.6457873069516721,0.0
binary,20,0.5,36,0.73,0.3500621728752889,0.6499378271247112,0.0
binary,20,0.5,37,0.75,0.3460000489672956,0.6539999510327046,0.0
binary,20,0.5,38,0.7699999999999999,0.3420203405563663,0.6579796594436336,0.0
binary,20,0.5,39,0.7899999999999999,0.33811744390238063,0.6618825560976194,0.0
binary,20,0.5,40,0.81,0.33428608792708997,0.66571391207291,0.0
binary,20,0.5,41,0.83,0.330521294376964,0.669478705623036,0.0
binary,20,0.5,42,0.85,0.32681834178908653,0.6731816582109135,0.0
binary,20,0.5,43,0.8699999999999999,0.3231727326371842,0.6768272673628157,0.0
binary,20,0.5,44,0.89,0.31958016311590826,0.6804198368840917,0.0
binary,20,0.5,45,0.91,0.3160364950876454,0.6839635049123546,0.0
binary,20,0.5,46,0.9299999999999999,0.3125377297677544,0.6874622702322456,0.0
binary,20,0.5,47,0.95,0.3090799827639489,0.6909200172360512,0.0
binary,20,0.5,48,0.97,0.30565946011659595,0.694340539883404,0.0
binary,20,0.5,49,0.99,0.3022724350075721,0.6977275649924279,0.0
binary,20,0.5,50,1.01,0.29891522481936933,0.7010847751806307,0.0
binary,20,0.5,51,1.03,0.2955841682313163,0.7044158317686837,0.0
binary,20,0.5,52,1.05,0.292275602039672,0.7077243979603279,0.0
binary,20,0.5,53,1.07,0.2889858373809574,0.7110141626190426,0.0
binary,20,0.5,54,1.0899999999999999,0.28571113502180895,0.7142888649781911,0.0
binary,20,0.5,55,1.1099999999999999,0.28244767935521276,0.7175523206447872,0.0
binary,20,0.5,56,1.13,0.27919155071353224,0.7208084492864677,0.0
binary,20,0.5,57,1.15,0.27593869557258166,0.7240613044274183,0.0
binary,20,0.5,58,1.1700000000000002,0.2726848941688653,0.7273151058311348,0.0
binary,20,0.5,59,1.19,0.26942572499066236,0.7305742750093378,0.0
binary,30,0.75,0,0.01,0.8535878656633145,0.14641213433668548,0.0
binary,30,0.75,1,0.029999999999999995,0.7950577653864642,0.2049422346135359,0.0
binary,30,0.75,2,0.05,0.7529102981608385,0.24708970183916157,0.0
binary,30,0.75,3,0.07,0.7197046753228528,0.28029532467714724,0.0
binary,30,0.75,4,0.09,0.6922925442199529,0.307707455780047,0.0
binary,30,0.75,5,0.11,0.6689716783136905,0.3310283216863096,0.0
